DB No.,n_d[i] 
0057511,0.577806
0057512,0.577806
0057513,0.577806
0057514,0.577806
0057515,0.577806
0057516,0.577806
0057517,0.577806
0057518,0.577806
0057519,0.577806
0057520,0.577806
0057521,0.577806
0057522,0.577806
0057523,0.577806
0057524,0.577806
0057525,0.577806
0057526,0.577806
0057527,0.577806
0057528,0.577806
0057529,0.577806
0057530,0.577806
0057531,0.577806
0057532,0.577806
0057533,0.577806
0057534,0.577806
0057535,0.577806
0057536,0.577806
0057537,0.577806
0057538,0.577806
0057539,0.577806
0057540,0.577807
0057541,0.57781
0057542,0.577823
0057543,0.57788
0057544,0.578107
0057545,0.578933
0057546,0.5817
0057547,0.590225
0057548,0.614377
0057549,0.677215
0057550,0.827251
0057551,1.15561
0057552,1.81332
0057553,3.01655
0057554,5.02149
0057555,8.0522
0057556,12.1834
0057557,17.2124
0057558,22.5875
0057559,27.4605
0057560,30.888
0057561,32.125
0057562,30.888
0057563,27.4605
0057564,22.5875
0057565,17.2124
0057566,12.1834
0057567,8.0522
0057568,5.02149
0057569,3.01655
0057570,1.81332
0057571,1.15561
0057572,0.827251
0057573,0.677215
0057574,0.614377
0057575,0.590225
0057576,0.5817
0057577,0.578933
0057578,0.578107
0057579,0.57788
0057580,0.577823
0057581,0.57781
0057582,0.577807
0057583,1.23551
0057584,1.23551
0057585,1.23551
0057586,1.23551
0057587,1.23551
0057588,1.23551
0057589,1.23551
0057590,1.23551
0057591,1.23551
0057592,1.23551
0057593,1.23551
0057594,1.23551
0057595,1.23551
0057596,1.23551
0057597,1.23551
0057598,1.23551
0057599,1.23551
0057600,1.23551
0057601,1.23551
0057602,1.23551
0057603,1.23551
0057604,1.23551
0057605,1.23551
0057606,1.23551
0057607,1.23551
0057608,1.23551
0057609,1.23551
0057610,1.23551
0057611,1.23551
0057612,1.23551
0057613,1.23551
0057614,1.23553
0057615,1.23558
0057616,1.23581
0057617,1.23664
0057618,1.2394
0057619,1.24793
0057620,1.27208
0057621,1.33492
0057622,1.48495
0057623,1.81332
0057624,2.47102
0057625,3.67425
0057626,5.67919
0057627,8.70991
0057628,12.8411
0057629,17.8701
0057630,23.2452
0057631,28.1182
0057632,31.5457
0057633,32.7827
0057634,31.5457
0057635,28.1182
0057636,23.2452
0057637,17.8701
0057638,12.8411
0057639,8.70991
0057640,5.67919
0057641,3.67425
0057642,2.47102
0057643,1.81332
0057644,1.48495
0057645,1.33492
0057646,1.27208
0057647,1.24793
0057648,1.2394
0057649,1.23664
0057650,1.23581
0057651,1.23558
0057652,1.23553
0057653,1.23551
0057654,1.23551
0057655,2.43874
0057656,2.43874
0057657,2.43874
0057658,2.43874
0057659,2.43874
0057660,2.43874
0057661,2.43874
0057662,2.43874
0057663,2.43874
0057664,2.43874
0057665,2.43874
0057666,2.43874
0057667,2.43874
0057668,2.43874
0057669,2.43874
0057670,2.43874
0057671,2.43874
0057672,2.43874
0057673,2.43874
0057674,2.43874
0057675,2.43874
0057676,2.43874
0057677,2.43874
0057678,2.43874
0057679,2.43874
0057680,2.43874
0057681,2.43874
0057682,2.43874
0057683,2.43874
0057684,2.43875
0057685,2.43875
0057686,2.43876
0057687,2.43882
0057688,2.43905
0057689,2.43987
0057690,2.44264
0057691,2.45116
0057692,2.47531
0057693,2.53815
0057694,2.68819
0057695,3.01655
0057696,3.67425
0057697,4.87749
0057698,6.88243
0057699,9.91314
0057700,14.0443
0057701,19.0733
0057702,24.4484
0057703,29.3215
0057704,32.7489
0057705,33.9859
0057706,32.7489
0057707,29.3215
0057708,24.4484
0057709,19.0733
0057710,14.0443
0057711,9.91314
0057712,6.88243
0057713,4.87749
0057714,3.67425
0057715,3.01655
0057716,2.68819
0057717,2.53815
0057718,2.47531
0057719,2.45116
0057720,2.44264
0057721,2.43987
0057722,2.43905
0057723,2.43882
0057724,2.43876
0057725,2.43875
0057726,2.43875
0057727,4.44368
0057728,4.44368
0057729,4.44368
0057730,4.44368
0057731,4.44368
0057732,4.44368
0057733,4.44368
0057734,4.44368
0057735,4.44368
0057736,4.44368
0057737,4.44368
0057738,4.44368
0057739,4.44368
0057740,4.44368
0057741,4.44368
0057742,4.44368
0057743,4.44368
0057744,4.44368
0057745,4.44368
0057746,4.44368
0057747,4.44368
0057748,4.44368
0057749,4.44368
0057750,4.44368
0057751,4.44368
0057752,4.44368
0057753,4.44368
0057754,4.44368
0057755,4.44368
0057756,4.44368
0057757,4.44369
0057758,4.4437
0057759,4.44376
0057760,4.44398
0057761,4.44481
0057762,4.44758
0057763,4.4561
0057764,4.48025
0057765,4.54309
0057766,4.69313
0057767,5.02149
0057768,5.67919
0057769,6.88243
0057770,8.88736
0057771,11.9181
0057772,16.0492
0057773,21.0783
0057774,26.4534
0057775,31.3264
0057776,34.7539
0057777,35.9908
0057778,34.7539
0057779,31.3264
0057780,26.4534
0057781,21.0783
0057782,16.0492
0057783,11.9181
0057784,8.88736
0057785,6.88243
0057786,5.67919
0057787,5.02149
0057788,4.69313
0057789,4.54309
0057790,4.48025
0057791,4.4561
0057792,4.44758
0057793,4.44481
0057794,4.44398
0057795,4.44376
0057796,4.4437
0057797,4.44369
0057798,4.44368
0057799,7.4744
0057800,7.4744
0057801,7.4744
0057802,7.4744
0057803,7.4744
0057804,7.4744
0057805,7.4744
0057806,7.4744
0057807,7.4744
0057808,7.4744
0057809,7.4744
0057810,7.4744
0057811,7.4744
0057812,7.4744
0057813,7.4744
0057814,7.4744
0057815,7.4744
0057816,7.4744
0057817,7.4744
0057818,7.4744
0057819,7.4744
0057820,7.4744
0057821,7.4744
0057822,7.4744
0057823,7.4744
0057824,7.4744
0057825,7.4744
0057826,7.4744
0057827,7.4744
0057828,7.4744
0057829,7.4744
0057830,7.47441
0057831,7.47447
0057832,7.4747
0057833,7.47552
0057834,7.47829
0057835,7.48682
0057836,7.51097
0057837,7.57381
0057838,7.72384
0057839,8.0522
0057840,8.70991
0057841,9.91314
0057842,11.9181
0057843,14.9488
0057844,19.0799
0057845,24.109
0057846,29.4841
0057847,34.3571
0057848,37.7846
0057849,39.0216
0057850,37.7846
0057851,34.3571
0057852,29.4841
0057853,24.109
0057854,19.0799
0057855,14.9488
0057856,11.9181
0057857,9.91314
0057858,8.70991
0057859,8.0522
0057860,7.72384
0057861,7.57381
0057862,7.51097
0057863,7.48682
0057864,7.47829
0057865,7.47552
0057866,7.4747
0057867,7.47447
0057868,7.47441
0057869,7.4744
0057870,7.4744
0057871,11.6055
0057872,11.6055
0057873,11.6055
0057874,11.6055
0057875,11.6055
0057876,11.6055
0057877,11.6055
0057878,11.6055
0057879,11.6055
0057880,11.6055
0057881,11.6055
0057882,11.6055
0057883,11.6055
0057884,11.6055
0057885,11.6055
0057886,11.6055
0057887,11.6055
0057888,11.6055
0057889,11.6055
0057890,11.6055
0057891,11.6055
0057892,11.6055
0057893,11.6055
0057894,11.6055
0057895,11.6055
0057896,11.6055
0057897,11.6055
0057898,11.6055
0057899,11.6055
0057900,11.6056
0057901,11.6056
0057902,11.6056
0057903,11.6056
0057904,11.6059
0057905,11.6067
0057906,11.6094
0057907,11.618
0057908,11.6421
0057909,11.705
0057910,11.855
0057911,12.1834
0057912,12.8411
0057913,14.0443
0057914,16.0492
0057915,19.0799
0057916,23.2111
0057917,28.2401
0057918,33.6153
0057919,38.4883
0057920,41.9157
0057921,43.1527
0057922,41.9157
0057923,38.4883
0057924,33.6153
0057925,28.2401
0057926,23.2111
0057927,19.0799
0057928,16.0492
0057929,14.0443
0057930,12.8411
0057931,12.1834
0057932,11.855
0057933,11.705
0057934,11.6421
0057935,11.618
0057936,11.6094
0057937,11.6067
0057938,11.6059
0057939,11.6056
0057940,11.6056
0057941,11.6056
0057942,11.6056
0057943,16.6346
0057944,16.6346
0057945,16.6346
0057946,16.6346
0057947,16.6346
0057948,16.6346
0057949,16.6346
0057950,16.6346
0057951,16.6346
0057952,16.6346
0057953,16.6346
0057954,16.6346
0057955,16.6346
0057956,16.6346
0057957,16.6346
0057958,16.6346
0057959,16.6346
0057960,16.6346
0057961,16.6346
0057962,16.6346
0057963,16.6346
0057964,16.6346
0057965,16.6346
0057966,16.6346
0057967,16.6346
0057968,16.6346
0057969,16.6346
0057970,16.6346
0057971,16.6346
0057972,16.6346
0057973,16.6346
0057974,16.6346
0057975,16.6346
0057976,16.6349
0057977,16.6357
0057978,16.6385
0057979,16.647
0057980,16.6711
0057981,16.734
0057982,16.884
0057983,17.2124
0057984,17.8701
0057985,19.0733
0057986,21.0783
0057987,24.109
0057988,28.2401
0057989,33.2692
0057990,38.6443
0057991,43.5173
0057992,46.9447
0057993,48.1817
0057994,46.9447
0057995,43.5173
0057996,38.6443
0057997,33.2692
0057998,28.2401
0057999,24.109
0058000,21.0783
0058001,19.0733
0058002,17.8701
0058003,17.2124
0058004,16.884
0058005,16.734
0058006,16.6711
0058007,16.647
0058008,16.6385
0058009,16.6357
0058010,16.6349
0058011,16.6346
0058012,16.6346
0058013,16.6346
0058014,16.6346
0058015,22.0097
0058016,22.0097
0058017,22.0097
0058018,22.0097
0058019,22.0097
0058020,22.0097
0058021,22.0097
0058022,22.0097
0058023,22.0097
0058024,22.0097
0058025,22.0097
0058026,22.0097
0058027,22.0097
0058028,22.0097
0058029,22.0097
0058030,22.0097
0058031,22.0097
0058032,22.0097
0058033,22.0097
0058034,22.0097
0058035,22.0097
0058036,22.0097
0058037,22.0097
0058038,22.0097
0058039,22.0097
0058040,22.0097
0058041,22.0097
0058042,22.0097
0058043,22.0097
0058044,22.0097
0058045,22.0097
0058046,22.0097
0058047,22.0098
0058048,22.01
0058049,22.0108
0058050,22.0136
0058051,22.0221
0058052,22.0463
0058053,22.1091
0058054,22.2591
0058055,22.5875
0058056,23.2452
0058057,24.4484
0058058,26.4534
0058059,29.4841
0058060,33.6153
0058061,38.6443
0058062,44.0194
0058063,48.8924
0058064,52.3199
0058065,53.5569
0058066,52.3199
0058067,48.8924
0058068,44.0194
0058069,38.6443
0058070,33.6153
0058071,29.4841
0058072,26.4534
0058073,24.4484
0058074,23.2452
0058075,22.5875
0058076,22.2591
0058077,22.1091
0058078,22.0463
0058079,22.0221
0058080,22.0136
0058081,22.0108
0058082,22.01
0058083,22.0098
0058084,22.0097
0058085,22.0097
0058086,22.0097
0058087,26.8827
0058088,26.8827
0058089,26.8827
0058090,26.8827
0058091,26.8827
0058092,26.8827
0058093,26.8827
0058094,26.8827
0058095,26.8827
0058096,26.8827
0058097,26.8827
0058098,26.8827
0058099,26.8827
0058100,26.8827
0058101,26.8827
0058102,26.8827
0058103,26.8827
0058104,26.8827
0058105,26.8827
0058106,26.8827
0058107,26.8827
0058108,26.8827
0058109,26.8827
0058110,26.8827
0058111,26.8827
0058112,26.8827
0058113,26.8827
0058114,26.8827
0058115,26.8827
0058116,26.8827
0058117,26.8827
0058118,26.8827
0058119,26.8828
0058120,26.883
0058121,26.8838
0058122,26.8866
0058123,26.8951
0058124,26.9193
0058125,26.9821
0058126,27.1322
0058127,27.4605
0058128,28.1182
0058129,29.3215
0058130,31.3264
0058131,34.3571
0058132,38.4883
0058133,43.5173
0058134,48.8924
0058135,53.7654
0058136,57.1929
0058137,58.4299
0058138,57.1929
0058139,53.7654
0058140,48.8924
0058141,43.5173
0058142,38.4883
0058143,34.3571
0058144,31.3264
0058145,29.3215
0058146,28.1182
0058147,27.4605
0058148,27.1322
0058149,26.9821
0058150,26.9193
0058151,26.8951
0058152,26.8866
0058153,26.8838
0058154,26.883
0058155,26.8828
0058156,26.8827
0058157,26.8827
0058158,26.8827
0058159,0.577806
0058160,0.577806
0058161,0.577806
0058162,0.577806
0058163,0.577806
0058164,0.577806
0058165,0.577806
0058166,0.577806
0058167,0.577806
0058168,0.577806
0058169,0.577806
0058170,0.577806
0058171,0.577806
0058172,0.577806
0058173,0.577806
0058174,0.577806
0058175,0.577806
0058176,0.577806
0058177,0.577806
0058178,0.577806
0058179,0.577806
0058180,0.577806
0058181,0.577806
0058182,0.577806
0058183,0.577806
0058184,0.577806
0058185,0.577806
0058186,0.577806
0058187,0.577806
0058188,0.577807
0058189,0.57781
0058190,0.577823
0058191,0.57788
0058192,0.578107
0058193,0.578933
0058194,0.5817
0058195,0.590225
0058196,0.614377
0058197,0.677215
0058198,0.827251
0058199,1.15561
0058200,1.81332
0058201,3.01655
0058202,5.02149
0058203,8.0522
0058204,12.1834
0058205,17.2124
0058206,22.5875
0058207,27.4605
0058208,30.888
0058209,32.125
0058210,30.888
0058211,27.4605
0058212,22.5875
0058213,17.2124
0058214,12.1834
0058215,8.0522
0058216,5.02149
0058217,3.01655
0058218,1.81332
0058219,1.15561
0058220,0.827251
0058221,0.677215
0058222,0.614377
0058223,0.590225
0058224,0.5817
0058225,0.578933
0058226,0.578107
0058227,0.57788
0058228,0.577823
0058229,0.57781
0058230,0.577807
0058231,1.23551
0058232,1.23551
0058233,1.23551
0058234,1.23551
0058235,1.23551
0058236,1.23551
0058237,1.23551
0058238,1.23551
0058239,1.23551
0058240,1.23551
0058241,1.23551
0058242,1.23551
0058243,1.23551
0058244,1.23551
0058245,1.23551
0058246,1.23551
0058247,1.23551
0058248,1.23551
0058249,1.23551
0058250,1.23551
0058251,1.23551
0058252,1.23551
0058253,1.23551
0058254,1.23551
0058255,1.23551
0058256,1.23551
0058257,1.23551
0058258,1.23551
0058259,1.23551
0058260,1.23551
0058261,1.23551
0058262,1.23553
0058263,1.23558
0058264,1.23581
0058265,1.23664
0058266,1.2394
0058267,1.24793
0058268,1.27208
0058269,1.33492
0058270,1.48495
0058271,1.81332
0058272,2.47102
0058273,3.67425
0058274,5.67919
0058275,8.70991
0058276,12.8411
0058277,17.8701
0058278,23.2452
0058279,28.1182
0058280,31.5457
0058281,32.7827
0058282,31.5457
0058283,28.1182
0058284,23.2452
0058285,17.8701
0058286,12.8411
0058287,8.70991
0058288,5.67919
0058289,3.67425
0058290,2.47102
0058291,1.81332
0058292,1.48495
0058293,1.33492
0058294,1.27208
0058295,1.24793
0058296,1.2394
0058297,1.23664
0058298,1.23581
0058299,1.23558
0058300,1.23553
0058301,1.23551
0058302,1.23551
0058303,2.43874
0058304,2.43874
